,user_id,username,bio,is_private,is_verified,is_professional_account,is_business_account,business_address,category_name,category_enum,url
0,516348236,horseexpopomona,"We know what you want because we want it too. Join us February 7-9, 2014 at The Fairplex in Pomona, CA",False,False,False,False,,,,https://www.instagram.com/horseexpopomona/
1,61721356821,nwsshorse,"📍120th National Western Stock Show
📅January 10-25, 2026
#NWSS2026 #Best16DaysinJanuary #NoPlaceLikeStockShow",False,False,True,True,,Agriculture,,https://www.instagram.com/nwsshorse/
2,600238262,kikos_ranch_20,empty,True,False,False,False,,,,https://www.instagram.com/kikos_ranch_20/
3,52908797189,windwardfarmpnw,"Real life horse farm, Web3 racing barn 🐴🐎",False,False,False,False,,,,https://www.instagram.com/windwardfarmpnw/
4,21482441897,broken_road_farm1,"🐐Come to one of our private gatherings, workshops or have your own private party at our farm 
🚫Not open to the public - NO DMS = EMAIL",False,False,True,True,"{""city_name"": ""Ovilla, Texas"", ""city_id"": 108398032517826, ""latitude"": 32.51812, ""longitude"": -96.80487, ""street_address"": null, ""zip_code"": ""75154""}",Entrepreneur,ENTREPRENEUR,https://www.instagram.com/broken_road_farm1/
5,6655145855,a_horses_official,empty,False,False,False,False,,,,https://www.instagram.com/a_horses_official/
6,274497689,horsenerd720,IM BACK BABIES,False,False,False,False,,,,https://www.instagram.com/horsenerd720/
7,47090279291,buryemwickwashburnvalley,empty,False,False,True,True,"{""city_name"": null, ""city_id"": null, ""latitude"": null, ""longitude"": null, ""street_address"": null, ""zip_code"": null}",Vacation Home Rental,VACATION_HOME_RENTAL,https://www.instagram.com/buryemwickwashburnvalley/
8,60534702170,horsesalwaysbernadette,empty,False,False,False,False,,,,https://www.instagram.com/horsesalwaysbernadette/
9,7190237280,applestables,empty,False,False,True,True,"{""city_name"": ""Putnam Valley, New York"", ""city_id"": 112787012068790, ""latitude"": 41.52054, ""longitude"": -73.79268, ""street_address"": ""670 Shenandoah rd"", ""zip_code"": ""12533""}",,,https://www.instagram.com/applestables/
10,29928163083,graftfarms,Premium commercial cattle and farm-to-table beef.,False,False,False,False,,,,https://www.instagram.com/graftfarms/
11,6945696053,sun.rise124stable,empty,False,False,False,False,,,,https://www.instagram.com/sun.rise124stable/
12,5487190766,_horse_plus_,"👕 T-Shirts, Hoodies, Mugs. Use ""HOLIDAY20SF2017"" code to save 20% 👇 Click on the link⤵",False,False,True,True,"{""city_name"": null, ""city_id"": null, ""latitude"": null, ""longitude"": null, ""street_address"": null, ""zip_code"": null}",,,https://www.instagram.com/_horse_plus_/
13,39379034001,farmhouseonglendale,"THE place for all things ♥️Farm•Home•Garden•Rodeo ♥️Spreading love, joy and kindness♥️ Shop my Amazon favorites now⬇️",False,False,True,False,,Entrepreneur,,https://www.instagram.com/farmhouseonglendale/
14,44057053705,jms_horseboxes,"3.5t horsebox specialist, new builds, bespoke build, from our based icon build spec to our superior, anything is possible",False,False,True,True,,Automotive Dealership,AUTOMOTIVE_DEALERSHIP,https://www.instagram.com/jms_horseboxes/
15,5739815670,horseskill,"🔔 Use #Horseskill to find us👀 If you want to buy 🛒 TShirt, Mug,... relate #Horseskill Click to Shop 👇 Get Yours! 🎁 Best Price 👍 Best Quality",False,False,False,False,,,,https://www.instagram.com/horseskill/
16,64181152789,stfreelancestablecare,empty,False,False,False,False,,,,https://www.instagram.com/stfreelancestablecare/
17,41215965292,fm_horses0.0,"Webb Ranch
Rob aka “HeartThrob Rob”
06
Main: @freya_mcquarrie",True,False,False,False,,,,https://www.instagram.com/fm_horses0.0/
18,49497669285,jbjranch,Click nos links abaixo para ver os catálogos do leilão JBJ Ranch 2025 special edition .,False,False,True,True,,Entrepreneur,ENTREPRENEUR,https://www.instagram.com/jbjranch/
19,7844275403,horsesandhounds17,"Mom,widow, cowgirl, decent human being",True,False,False,False,,,,https://www.instagram.com/horsesandhounds17/
